
213it [13:41,  3.11s/it]
214it [13:48,  4.23s/it]
215it [13:51,  3.78s/it]
216it [13:54,  3.58s/it]
217it [13:58,  3.79s/it]
218it [14:02,  3.67s/it]
219it [14:06,  3.87s/it]
220it [14:10,  3.88s/it]
221it [14:14,  3.97s/it]
222it [14:17,  3.70s/it]
223it [14:24,  4.57s/it]
224it [14:28,  4.47s/it]
225it [14:31,  3.95s/it]
226it [14:35,  3.91s/it]
227it [14:38,  3.73s/it]
228it [14:42,  3.79s/it]
229it [14:45,  3.54s/it]
230it [14:48,  3.36s/it]
231it [14:51,  3.24s/it]
232it [14:54,  3.38s/it]
233it [14:58,  3.28s/it]
234it [15:00,  3.17s/it]
235it [15:04,  3.28s/it]
236it [15:07,  3.23s/it]
237it [15:10,  3.10s/it]
238it [15:12,  2.87s/it]
239it [15:16,  3.21s/it]
240it [15:20,  3.48s/it]
241it [15:26,  4.07s/it]
242it [15:31,  4.45s/it]
243it [15:39,  5.48s/it]
244it [15:42,  4.77s/it]
245it [15:46,  4.47s/it]
246it [15:49,  4.18s/it]
247it [15:53,  3.89s/it]
248it [15:56,  3.59s/it]
249it [15:59,  3.68s/it]
250it [16:03,  3.62s/it]
251it [16:06,  3.61s/it]
252it [16:10,  3.67s/it]
253it [16:13,  3.52s/it]
254it [16:16,  3.28s/it]
255it [16:19,  3.23s/it]
256it [16:23,  3.24s/it]
257it [16:25,  3.07s/it]
258it [16:28,  3.08s/it]
259it [16:34,  3.87s/it]
260it [16:38,  3.91s/it]
261it [16:42,  3.85s/it]
262it [16:44,  3.50s/it]
263it [16:47,  3.30s/it]
264it [16:53,  3.97s/it]
265it [16:56,  3.67s/it]
266it [17:00,  3.73s/it]
267it [17:03,  3.49s/it]
268it [17:06,  3.39s/it]
269it [17:09,  3.40s/it]
270it [17:12,  3.32s/it]
271it [17:15,  3.11s/it]
272it [17:19,  3.30s/it]
273it [17:22,  3.25s/it]
274it [17:25,  3.15s/it]
275it [17:29,  3.40s/it]
276it [17:33,  3.61s/it]
277it [17:38,  4.16s/it]
278it [17:46,  5.27s/it]
279it [17:51,  5.31s/it]
280it [17:55,  4.75s/it]
281it [17:59,  4.53s/it]
282it [18:04,  4.60s/it]
283it [18:11,  5.40s/it]
284it [18:14,  4.64s/it]
285it [18:19,  4.66s/it]
286it [18:23,  4.58s/it]
287it [18:26,  4.15s/it]
288it [18:29,  3.74s/it]
289it [18:32,  3.49s/it]
290it [18:36,  3.59s/it]
291it [18:40,  3.90s/it]
292it [18:43,  3.64s/it]
293it [18:47,  3.80s/it]
294it [18:52,  3.89s/it]
295it [18:55,  3.62s/it]
296it [18:59,  3.92s/it]
297it [19:02,  3.66s/it]
298it [19:05,  3.50s/it]
299it [19:08,  3.33s/it]
300it [19:11,  3.21s/it]
301it [19:15,  3.29s/it]
302it [19:17,  3.11s/it]
303it [19:29,  5.78s/it]
